시도,시군구,생활용_개소수,생활용_이용량,공업용_개소수,공업용_이용량,농업용_개소수,농업용_이용량,기타용_개소수,기타용_이용량
강원특별자치도,강릉시,8350,6318462,73,1287978,2744,5774191,0,0
강원특별자치도,고성군,1281,3343175,32,152068,1614,4483038,2,0
강원특별자치도,동해시,747,3130377,66,3276675,402,669629,3,46400
강원특별자치도,삼척시,2012,16730166,47,1034990,911,6512585,5,87311
강원특별자치도,속초시,565,969921,71,187353,364,700470,9,5918
강원특별자치도,양구군,2104,1285580,22,37524,3209,5057314,0,0
강원특별자치도,양양군,910,788374,26,174755,1197,1188112,4,480
강원특별자치도,영월군,1877,7514389,35,261391,1377,2265567,4,21636
강원특별자치도,원주시,18060,11043422,143,537251,9013,9094368,0,0
강원특별자치도,인제군,3487,1834605,18,95629,422,1031189,3,26280
강원특별자치도,정선군,1045,1994107,15,35062,669,1979083,0,0
강원특별자치도,철원군,2396,4264042,22,230328,2832,4499330,2,30000
강원특별자치도,춘천시,6802,12386477,56,334645,7237,15249891,0,0
강원특별자치도,태백시,179,488910,12,44684,72,325180,2,1800
강원특별자치도,평창군,4571,6919810,32,190433,1870,5082302,14,181096
강원특별자치도,홍천군,12479,1911407,44,196514,3361,2632513,5,36684
강원특별자치도,화천군,2666,2967579,19,154621,2514,6465340,5,41955
강원특별자치도,횡성군,7321,9794751,64,608642,4710,11783669,0,0
경기도,가평군,11269,6432534,19,106998,2941,4172349,3,102200
경기도,고양시,5354,10093818,35,240056,8942,13794752,8,12783
경기도,과천시,137,374397,0,0,1052,873691,5,0
경기도,광명시,627,1122929,22,685939,1475,2241793,5,3923
경기도,광주시,9793,7723525,92,250329,2063,2874533,156,1770567
경기도,구리시,260,508878,11,5484,439,794261,0,0
경기도,군포시,143,730615,3,5018,466,653970,0,0
경기도,김포시,6978,9749479,209,659737,3675,5248746,0,0
경기도,남양주시,6492,9042976,105,1100047,4187,5905718,21,158285
경기도,동두천시,791,1045694,34,282892,459,807233,0,0
경기도,부천시,616,1060488,42,205129,389,404142,4,35131
경기도,성남시,430,3344374,13,1000,619,1511794,8,60498
경기도,수원시,1402,1613416,41,588478,1301,1543979,12,4117
경기도,시흥시,1345,1004743,9,70453,3876,3675279,3,23484
경기도,안산시,825,1322135,10,60077,1899,2691066,0,0
경기도,안성시,14467,17117424,144,1381539,13837,17645347,0,0
경기도,안양시,470,1635750,28,363210,94,124259,0,0
경기도,양주시,7606,10104171,488,2882198,6410,9821925,0,0
경기도,양평군,20504,20120703,26,251699,12358,27356467,4,40131
경기도,여주시,12829,12907555,210,3002143,8736,15799596,326,2687602
경기도,연천군,1482,1541681,36,418726,2715,4079337,1,54750
경기도,오산시,681,1155692,14,420592,488,1007476,1,846
경기도,용인시,6334,23620486,73,668447,3068,6946251,9,51481
경기도,의왕시,1246,1416307,80,92916,901,1470423,13,22915
경기도,의정부시,1735,2068719,6,40418,903,912251,1,3600
경기도,이천시,6022,10699566,147,1717040,9310,13286072,4,549264
경기도,파주시,14043,23024923,239,2390749,4372,7488568,91,639285
경기도,평택시,7117,8734274,236,4099013,4407,6074069,0,0
경기도,포천시,7016,9991898,116,1264004,3917,5684863,6,175200
경기도,하남시,2484,1603366,40,1615032,1970,3060777,0,0
경기도,화성시,9869,13203617,310,2771472,4419,5327886,40,66705
경상남도,거제시,2837,6666099,32,100376,2245,3240448,6,0
